conference,stadium_capacity,stadium_construction,division,latitude,longitude,city,state,name
American,40000,2003,fbs,41.75988428,-72.61894226,East Hartford,CT,Connecticut
American,40000,1924,fbs,39.13128425,-84.51626144,Cincinnati,OH,Cincinnati
American,40000,2014,fbs,29.72176796,-95.34909841,Houston,TX,Houston
Mountain West,39224,1960,fbs,35.06761048,-106.6281028,Albuquerque,NM,New Mexico
C-USA,38019,1991,fbs,38.42486536,-82.42185831,Huntington,WV,Marshall
Independent,38000,1924,fbs,41.38708043,-73.96408081,West Point,NY,Army
Mountain West,37000,1970,fbs,43.60270805,-116.1959124,Boise,ID,Boise State
Sun Belt,36900,1971,fbs,30.2157961,-92.01626414,Lafayette,LA,Louisiana-Lafayette
Mountain West,36800,1971,fbs,36.08597388,-115.0171137,Whitney,NV,UNLV
C-USA,36000,1932,fbs,31.32897843,-89.33133066,Hattiesburg,MS,Southern Miss
American,35542,1930,fbs,36.14886068,-95.94360352,Tulsa,OK,Tulsa
Mountain West,34400,1968,fbs,40.56174245,-105.1398437,Fort Collins,CO,Colorado State
American,34000,1959,fbs,38.98483264,-76.50711536,Annapolis,MD,Navy
ACC,33941,1929,fbs,35.99531665,-78.9417243,Durham,NC,Duke
Sun Belt,33500,1948,fbs,30.67423899,-88.07563305,Mobile,AL,South Alabama
MAC,32885,1972,fbs,43.57761228,-84.77082968,Mount Pleasant,MI,Central Michigan
Pac-12,32248,1972,fbs,46.73196798,-117.1605858,Pullman,WA,Washington State
American,32000,2000,fbs,32.83771581,-96.78270578,University Park,TX,SMU
ACC,31500,1968,fbs,36.09183481,-80.25534153,Winston-Salem,NC,Wake Forest
C-USA,31000,1933,fbs,35.85110908,-86.36844993,Murfreesboro,TN,Middle Tennessee
Sun Belt,30964,1974,fbs,35.8489901,-90.66769494,Jonesboro,AR,Arkansas State
C-USA,30850,2011,fbs,33.20393508,-97.15922356,Denton,TX,North Texas
C-USA,30600,1968,fbs,32.5322381,-92.65601888,Ruston,LA,Louisiana Tech
Mountain West,30456,1933,fbs,37.32010519,-121.8681161,San Jose,CA,San Jose State
Sun Belt,30427,1978,fbs,32.53106869,-92.06644075,Monroe,LA,Louisiana-Monroe
Sun Belt,30343,1978,fbs,32.27974938,-106.7411363,Las Cruces,NM,New Mexico State
MAC,30200,1939,fbs,42.28575549,-85.60100421,Kalamazoo,MI,Western Michigan
MAC,30200,1969,fbs,42.25576071,-83.64775658,Ypsilanti,MI,Eastern Michigan
Mountain West,30000,1966,fbs,39.54692485,-119.8175597,Reno,NV,Nevada
Sun Belt,30000,1981,fbs,29.89134455,-97.92531181,San Marcos,TX,Texas State
MAC,30000,2009,fbs,41.07256952,-81.50838375,Akron,OH,Akron
C-USA,30000,2011,fbs,26.37545356,-80.10168314,Boca Raton,FL,Florida Atlantic
Sun Belt,30000,1950,fbs,31.79952742,-85.95217692,Troy,AL,Troy
American,30000,2014,fbs,29.94589811,-90.11519112,New Orleans,LA,Tulane
Mountain West,29181,1950,fbs,41.31193599,-105.5690646,Laramie,WY,Wyoming
MAC,29013,1993,fbs,42.99906838,-78.77751946,Amherst,NY,Buffalo
Sun Belt,28155,1992,fbs,33.75761738,-84.40106034,Atlanta,GA,Georgia State
MAC,26248,1937,fbs,41.65739078,-83.61401719,Toledo,OH,Toledo
Mountain West,25513,1968,fbs,41.75153189,-111.8121057,Logan,UT,Utah State
MAC,25500,1965,fbs,41.934014,-88.778222,DeKalb,IL,NIU
MAC,25000,1969,fbs,41.13908683,-81.31343946,Kent,OH,Kent State
Sun Belt,24300,1984,fbs,32.41221168,-81.7831707,Statesboro,GA,Georgia Southern
MAC,24286,1983,fbs,39.51942113,-84.7333545,Oxford,OH,Miami (OH)
Sun Belt,24050,1962,fbs,36.2115153,-81.68550611,Boone,NC,Appalachian State
MAC,24000,1929,fbs,39.32130908,-82.10343945,Athens,OH,Ohio
MAC,23724,1966,fbs,41.3780544,-83.62248212,Bowling Green,OH,Bowling Green
C-USA,23500,1995,fbs,25.75249279,-80.37786484,Miami,FL,FIU
MAC,22500,1967,fbs,40.21602764,-85.41769962,Muncie,IN,Ball State
C-USA,22113,1968,fbs,36.98487663,-86.45901397,Bowling Green,KY,Western Kentucky
C-USA,20118,1936,fbs,36.88878132,-76.3056761,Norfolk,VA,Old Dominion
MAC,17000,1965,fbs,42.37751324,-72.53562686,Hadley,MA,UMass
Sun Belt,16000,1975,fbs,46.72634961,-117.0175519,Moscow,ID,Idaho
C-USA,15314,2013,fbs,35.31028068,-80.74049377,Charlotte,NC,Charlotte
